Algorithm,category,size,trial,time_us
IntroSort,Random,2200,3,219
IntroSort,Random,2200,4,244
IntroSort,Random,2200,5,252
QuickSort,Random,2300,1,376
QuickSort,Random,2300,2,378
QuickSort,Random,2300,3,405
QuickSort,Random,2300,4,367
QuickSort,Random,2300,5,368
IntroSort,Random,2300,1,246
IntroSort,Random,2300,2,243
IntroSort,Random,2300,3,276
IntroSort,Random,2300,4,291
IntroSort,Random,2300,5,246
QuickSort,Random,2400,1,380
QuickSort,Random,2400,2,395
QuickSort,Random,2400,3,368
QuickSort,Random,2400,4,396
QuickSort,Random,2400,5,376
IntroSort,Random,2400,1,244
IntroSort,Random,2400,2,253
IntroSort,Random,2400,3,255
IntroSort,Random,2400,4,256
IntroSort,Random,2400,5,253
QuickSort,Random,2500,1,381
QuickSort,Random,2500,2,382
QuickSort,Random,2500,3,375
QuickSort,Random,2500,4,377
QuickSort,Random,2500,5,396
IntroSort,Random,2500,1,291
IntroSort,Random,2500,2,254
IntroSort,Random,2500,3,272
IntroSort,Random,2500,4,256
IntroSort,Random,2500,5,260
QuickSort,Random,2600,1,399
QuickSort,Random,2600,2,410
QuickSort,Random,2600,3,415
QuickSort,Random,2600,4,398
QuickSort,Random,2600,5,409
IntroSort,Random,2600,1,274
IntroSort,Random,2600,2,281
IntroSort,Random,2600,3,263
IntroSort,Random,2600,4,267
IntroSort,Random,2600,5,254
QuickSort,Random,2700,1,408
QuickSort,Random,2700,2,388
QuickSort,Random,2700,3,405
QuickSort,Random,2700,4,390
QuickSort,Random,2700,5,422
IntroSort,Random,2700,1,267
IntroSort,Random,2700,2,263
IntroSort,Random,2700,3,267
IntroSort,Random,2700,4,284
IntroSort,Random,2700,5,249
QuickSort,Random,2800,1,389
QuickSort,Random,2800,2,381
QuickSort,Random,2800,3,414
QuickSort,Random,2800,4,364
QuickSort,Random,2800,5,352
IntroSort,Random,2800,1,269
IntroSort,Random,2800,2,239
IntroSort,Random,2800,3,262
IntroSort,Random,2800,4,249
IntroSort,Random,2800,5,243
QuickSort,Random,2900,1,398
QuickSort,Random,2900,2,362
QuickSort,Random,2900,3,363
QuickSort,Random,2900,4,360
QuickSort,Random,2900,5,370
IntroSort,Random,2900,1,258
IntroSort,Random,2900,2,245
IntroSort,Random,2900,3,255
IntroSort,Random,2900,4,257
IntroSort,Random,2900,5,250
QuickSort,Random,3000,1,384
QuickSort,Random,3000,2,440
QuickSort,Random,3000,3,440
QuickSort,Random,3000,4,385
QuickSort,Random,3000,5,382
IntroSort,Random,3000,1,287
IntroSort,Random,3000,2,286
IntroSort,Random,3000,3,271
IntroSort,Random,3000,4,305
IntroSort,Random,3000,5,295
QuickSort,Random,3100,1,431
QuickSort,Random,3100,2,432
QuickSort,Random,3100,3,451
QuickSort,Random,3100,4,427
QuickSort,Random,3100,5,438
IntroSort,Random,3100,1,288
IntroSort,Random,3100,2,269
IntroSort,Random,3100,3,269
IntroSort,Random,3100,4,264
IntroSort,Random,3100,5,305
QuickSort,Random,3200,1,401
QuickSort,Random,3200,2,405
QuickSort,Random,3200,3,441
QuickSort,Random,3200,4,504
QuickSort,Random,3200,5,429
IntroSort,Random,3200,1,290
IntroSort,Random,3200,2,292
IntroSort,Random,3200,3,310
IntroSort,Random,3200,4,318
IntroSort,Random,3200,5,301
QuickSort,Random,3300,1,444
QuickSort,Random,3300,2,490
QuickSort,Random,3300,3,475
QuickSort,Random,3300,4,448
QuickSort,Random,3300,5,440
IntroSort,Random,3300,1,311
IntroSort,Random,3300,2,298
IntroSort,Random,3300,3,314
IntroSort,Random,3300,4,296
IntroSort,Random,3300,5,289
QuickSort,Random,3400,1,459
QuickSort,Random,3400,2,474
QuickSort,Random,3400,3,478
QuickSort,Random,3400,4,451
QuickSort,Random,3400,5,448
IntroSort,Random,3400,1,305
IntroSort,Random,3400,2,319
IntroSort,Random,3400,3,354
IntroSort,Random,3400,4,294
IntroSort,Random,3400,5,314
QuickSort,Random,3500,1,479
QuickSort,Random,3500,2,485
QuickSort,Random,3500,3,466
QuickSort,Random,3500,4,479
QuickSort,Random,3500,5,460
IntroSort,Random,3500,1,310
IntroSort,Random,3500,2,347
IntroSort,Random,3500,3,350
IntroSort,Random,3500,4,363
IntroSort,Random,3500,5,344
QuickSort,Random,3600,1,508
QuickSort,Random,3600,2,482
QuickSort,Random,3600,3,505
QuickSort,Random,3600,4,469
QuickSort,Random,3600,5,478
IntroSort,Random,3600,1,333
IntroSort,Random,3600,2,326
IntroSort,Random,3600,3,320
IntroSort,Random,3600,4,314
IntroSort,Random,3600,5,312
QuickSort,Random,3700,1,523
QuickSort,Random,3700,2,481
QuickSort,Random,3700,3,505
QuickSort,Random,3700,4,515
QuickSort,Random,3700,5,534
IntroSort,Random,3700,1,344
IntroSort,Random,3700,2,339
IntroSort,Random,3700,3,358
IntroSort,Random,3700,4,366
IntroSort,Random,3700,5,358
QuickSort,Random,3800,1,526
QuickSort,Random,3800,2,513
QuickSort,Random,3800,3,534
QuickSort,Random,3800,4,533
QuickSort,Random,3800,5,548
IntroSort,Random,3800,1,355
IntroSort,Random,3800,2,344
IntroSort,Random,3800,3,323
IntroSort,Random,3800,4,333
IntroSort,Random,3800,5,351
QuickSort,Random,3900,1,517
QuickSort,Random,3900,2,601
QuickSort,Random,3900,3,550
QuickSort,Random,3900,4,548
QuickSort,Random,3900,5,556
IntroSort,Random,3900,1,374
IntroSort,Random,3900,2,359
IntroSort,Random,3900,3,362
IntroSort,Random,3900,4,360
IntroSort,Random,3900,5,357
QuickSort,Random,4000,1,507
QuickSort,Random,4000,2,533
QuickSort,Random,4000,3,533
QuickSort,Random,4000,4,529
QuickSort,Random,4000,5,536
IntroSort,Random,4000,1,359
IntroSort,Random,4000,2,376
IntroSort,Random,4000,3,349
IntroSort,Random,4000,4,367
IntroSort,Random,4000,5,357
QuickSort,Random,4100,1,539
QuickSort,Random,4100,2,603
QuickSort,Random,4100,3,616
QuickSort,Random,4100,4,513
QuickSort,Random,4100,5,542
IntroSort,Random,4100,1,354
IntroSort,Random,4100,2,360
IntroSort,Random,4100,3,407
IntroSort,Random,4100,4,404
IntroSort,Random,4100,5,364
QuickSort,Random,4200,1,570
QuickSort,Random,4200,2,559
QuickSort,Random,4200,3,546
QuickSort,Random,4200,4,554
QuickSort,Random,4200,5,534
IntroSort,Random,4200,1,393
IntroSort,Random,4200,2,409
IntroSort,Random,4200,3,364
IntroSort,Random,4200,4,378
IntroSort,Random,4200,5,364
QuickSort,Random,4300,1,597
QuickSort,Random,4300,2,677
QuickSort,Random,4300,3,553
QuickSort,Random,4300,4,546
QuickSort,Random,4300,5,547
IntroSort,Random,4300,1,397
IntroSort,Random,4300,2,408
IntroSort,Random,4300,3,376
IntroSort,Random,4300,4,415
IntroSort,Random,4300,5,392
QuickSort,Random,4400,1,608
QuickSort,Random,4400,2,604
QuickSort,Random,4400,3,569
QuickSort,Random,4400,4,591
QuickSort,Random,4400,5,589
IntroSort,Random,4400,1,393
IntroSort,Random,4400,2,384
IntroSort,Random,4400,3,406
IntroSort,Random,4400,4,387
IntroSort,Random,4400,5,474
QuickSort,Random,4500,1,645
QuickSort,Random,4500,2,603
QuickSort,Random,4500,3,617
QuickSort,Random,4500,4,578
QuickSort,Random,4500,5,585
IntroSort,Random,4500,1,409
IntroSort,Random,4500,2,415
IntroSort,Random,4500,3,420
IntroSort,Random,4500,4,421
IntroSort,Random,4500,5,392
QuickSort,Random,4600,1,683
QuickSort,Random,4600,2,628
QuickSort,Random,4600,3,597
QuickSort,Random,4600,4,608
QuickSort,Random,4600,5,655
IntroSort,Random,4600,1,414
IntroSort,Random,4600,2,456
IntroSort,Random,4600,3,436
IntroSort,Random,4600,4,420
IntroSort,Random,4600,5,419
QuickSort,Random,4700,1,611
QuickSort,Random,4700,2,622
QuickSort,Random,4700,3,604
QuickSort,Random,4700,4,605
QuickSort,Random,4700,5,715
IntroSort,Random,4700,1,434
IntroSort,Random,4700,2,409
IntroSort,Random,4700,3,419
IntroSort,Random,4700,4,436
IntroSort,Random,4700,5,457
QuickSort,Random,4800,1,670
QuickSort,Random,4800,2,658
QuickSort,Random,4800,3,608
QuickSort,Random,4800,4,644
QuickSort,Random,4800,5,663
IntroSort,Random,4800,1,431
IntroSort,Random,4800,2,444
IntroSort,Random,4800,3,444
IntroSort,Random,4800,4,492
IntroSort,Random,4800,5,444
QuickSort,Random,4900,1,665
QuickSort,Random,4900,2,628
QuickSort,Random,4900,3,665
QuickSort,Random,4900,4,647
QuickSort,Random,4900,5,623
IntroSort,Random,4900,1,458
IntroSort,Random,4900,2,460
IntroSort,Random,4900,3,434
IntroSort,Random,4900,4,450
IntroSort,Random,4900,5,462
QuickSort,Random,5000,1,695
QuickSort,Random,5000,2,669
QuickSort,Random,5000,3,734
QuickSort,Random,5000,4,695
QuickSort,Random,5000,5,647
IntroSort,Random,5000,1,463
IntroSort,Random,5000,2,464
IntroSort,Random,5000,3,441
IntroSort,Random,5000,4,488
IntroSort,Random,5000,5,485
QuickSort,Random,5100,1,680
QuickSort,Random,5100,2,687
QuickSort,Random,5100,3,689
QuickSort,Random,5100,4,711
QuickSort,Random,5100,5,755
IntroSort,Random,5100,1,474
IntroSort,Random,5100,2,502
IntroSort,Random,5100,3,483
IntroSort,Random,5100,4,485
IntroSort,Random,5100,5,483
QuickSort,Random,5200,1,677
QuickSort,Random,5200,2,716
QuickSort,Random,5200,3,679
QuickSort,Random,5200,4,699
QuickSort,Random,5200,5,681
IntroSort,Random,5200,1,464
IntroSort,Random,5200,2,493
IntroSort,Random,5200,3,525
IntroSort,Random,5200,4,531
IntroSort,Random,5200,5,486
QuickSort,Random,5300,1,700
QuickSort,Random,5300,2,721
QuickSort,Random,5300,3,714
QuickSort,Random,5300,4,717
QuickSort,Random,5300,5,688
IntroSort,Random,5300,1,483
IntroSort,Random,5300,2,466
IntroSort,Random,5300,3,474
IntroSort,Random,5300,4,480
IntroSort,Random,5300,5,501
QuickSort,Random,5400,1,746
QuickSort,Random,5400,2,735
QuickSort,Random,5400,3,764
QuickSort,Random,5400,4,750
QuickSort,Random,5400,5,734
IntroSort,Random,5400,1,500
IntroSort,Random,5400,2,487
IntroSort,Random,5400,3,522
IntroSort,Random,5400,4,498
IntroSort,Random,5400,5,493
QuickSort,Random,5500,1,727
QuickSort,Random,5500,2,748
QuickSort,Random,5500,3,758
QuickSort,Random,5500,4,742
QuickSort,Random,5500,5,751
IntroSort,Random,5500,1,498
IntroSort,Random,5500,2,506
IntroSort,Random,5500,3,496
IntroSort,Random,5500,4,514
IntroSort,Random,5500,5,561
QuickSort,Random,5600,1,727
QuickSort,Random,5600,2,755
QuickSort,Random,5600,3,744
QuickSort,Random,5600,4,752
QuickSort,Random,5600,5,810
IntroSort,Random,5600,1,511
IntroSort,Random,5600,2,553
IntroSort,Random,5600,3,526
IntroSort,Random,5600,4,552
IntroSort,Random,5600,5,507
QuickSort,Random,5700,1,792
QuickSort,Random,5700,2,775
QuickSort,Random,5700,3,747
QuickSort,Random,5700,4,765
QuickSort,Random,5700,5,751
IntroSort,Random,5700,1,519
IntroSort,Random,5700,2,575
IntroSort,Random,5700,3,539
IntroSort,Random,5700,4,594
IntroSort,Random,5700,5,528
QuickSort,Random,5800,1,831
QuickSort,Random,5800,2,774
QuickSort,Random,5800,3,785
QuickSort,Random,5800,4,817
QuickSort,Random,5800,5,793
IntroSort,Random,5800,1,550
IntroSort,Random,5800,2,545
IntroSort,Random,5800,3,529
IntroSort,Random,5800,4,549
IntroSort,Random,5800,5,568
QuickSort,Random,5900,1,819
QuickSort,Random,5900,2,846
QuickSort,Random,5900,3,823
QuickSort,Random,5900,4,813
QuickSort,Random,5900,5,787
IntroSort,Random,5900,1,552
IntroSort,Random,5900,2,546
IntroSort,Random,5900,3,557
IntroSort,Random,5900,4,572
IntroSort,Random,5900,5,623
QuickSort,Random,6000,1,808
QuickSort,Random,6000,2,788
QuickSort,Random,6000,3,859
QuickSort,Random,6000,4,852
QuickSort,Random,6000,5,800
IntroSort,Random,6000,1,554
IntroSort,Random,6000,2,584
IntroSort,Random,6000,3,593
IntroSort,Random,6000,4,541
IntroSort,Random,6000,5,557
QuickSort,Random,6100,1,864
QuickSort,Random,6100,2,830
QuickSort,Random,6100,3,818
QuickSort,Random,6100,4,843
QuickSort,Random,6100,5,809
IntroSort,Random,6100,1,576
IntroSort,Random,6100,2,570
IntroSort,Random,6100,3,574
IntroSort,Random,6100,4,572
IntroSort,Random,6100,5,599
QuickSort,Random,6200,1,865
QuickSort,Random,6200,2,895
QuickSort,Random,6200,3,845
QuickSort,Random,6200,4,836
QuickSort,Random,6200,5,880
IntroSort,Random,6200,1,600
IntroSort,Random,6200,2,677
IntroSort,Random,6200,3,633
IntroSort,Random,6200,4,653
IntroSort,Random,6200,5,592
QuickSort,Random,6300,1,852
QuickSort,Random,6300,2,844
QuickSort,Random,6300,3,827
QuickSort,Random,6300,4,849
QuickSort,Random,6300,5,825
IntroSort,Random,6300,1,639
IntroSort,Random,6300,2,593
IntroSort,Random,6300,3,593
IntroSort,Random,6300,4,572
IntroSort,Random,6300,5,596
QuickSort,Random,6400,1,930
QuickSort,Random,6400,2,942
QuickSort,Random,6400,3,925
QuickSort,Random,6400,4,889
QuickSort,Random,6400,5,876
IntroSort,Random,6400,1,628
IntroSort,Random,6400,2,631
IntroSort,Random,6400,3,588
IntroSort,Random,6400,4,607
IntroSort,Random,6400,5,613
QuickSort,Random,6500,1,900
QuickSort,Random,6500,2,951
QuickSort,Random,6500,3,929
QuickSort,Random,6500,4,875
QuickSort,Random,6500,5,885
IntroSort,Random,6500,1,617
IntroSort,Random,6500,2,603
IntroSort,Random,6500,3,589
IntroSort,Random,6500,4,619
IntroSort,Random,6500,5,627
QuickSort,Random,6600,1,897
QuickSort,Random,6600,2,942
QuickSort,Random,6600,3,923
QuickSort,Random,6600,4,865
QuickSort,Random,6600,5,896
IntroSort,Random,6600,1,630
IntroSort,Random,6600,2,629
IntroSort,Random,6600,3,601
IntroSort,Random,6600,4,601
IntroSort,Random,6600,5,644
QuickSort,Random,6700,1,900
QuickSort,Random,6700,2,953
QuickSort,Random,6700,3,908
QuickSort,Random,6700,4,893
QuickSort,Random,6700,5,925
IntroSort,Random,6700,1,646
IntroSort,Random,6700,2,656
IntroSort,Random,6700,3,610
IntroSort,Random,6700,4,633
IntroSort,Random,6700,5,654
QuickSort,Random,6800,1,896
QuickSort,Random,6800,2,1005
QuickSort,Random,6800,3,932
QuickSort,Random,6800,4,937
QuickSort,Random,6800,5,945
IntroSort,Random,6800,1,671
IntroSort,Random,6800,2,634
IntroSort,Random,6800,3,647
IntroSort,Random,6800,4,669
IntroSort,Random,6800,5,641
QuickSort,Random,6900,1,938
QuickSort,Random,6900,2,1005
QuickSort,Random,6900,3,976
QuickSort,Random,6900,4,943
