Algorithm,category,size,trial,time_us
IntroSort,Random,50700,3,5489
IntroSort,Random,50700,4,5573
IntroSort,Random,50700,5,5597
QuickSort,Random,50800,1,8386
QuickSort,Random,50800,2,8372
QuickSort,Random,50800,3,8277
QuickSort,Random,50800,4,8359
QuickSort,Random,50800,5,8457
IntroSort,Random,50800,1,5449
IntroSort,Random,50800,2,5494
IntroSort,Random,50800,3,5532
IntroSort,Random,50800,4,5425
IntroSort,Random,50800,5,5424
QuickSort,Random,50900,1,8566
QuickSort,Random,50900,2,8411
QuickSort,Random,50900,3,8317
QuickSort,Random,50900,4,8386
QuickSort,Random,50900,5,8423
IntroSort,Random,50900,1,5345
IntroSort,Random,50900,2,5536
IntroSort,Random,50900,3,5622
IntroSort,Random,50900,4,5461
IntroSort,Random,50900,5,5619
QuickSort,Random,51000,1,8576
QuickSort,Random,51000,2,8447
QuickSort,Random,51000,3,8467
QuickSort,Random,51000,4,8629
QuickSort,Random,51000,5,8468
IntroSort,Random,51000,1,5410
IntroSort,Random,51000,2,5529
IntroSort,Random,51000,3,5535
IntroSort,Random,51000,4,5483
IntroSort,Random,51000,5,5631
QuickSort,Random,51100,1,8404
QuickSort,Random,51100,2,8897
QuickSort,Random,51100,3,8471
QuickSort,Random,51100,4,8368
QuickSort,Random,51100,5,8404
IntroSort,Random,51100,1,5601
IntroSort,Random,51100,2,5606
IntroSort,Random,51100,3,5600
IntroSort,Random,51100,4,5531
IntroSort,Random,51100,5,5598
QuickSort,Random,51200,1,8469
QuickSort,Random,51200,2,8778
QuickSort,Random,51200,3,8473
QuickSort,Random,51200,4,8543
QuickSort,Random,51200,5,8609
IntroSort,Random,51200,1,5460
IntroSort,Random,51200,2,5562
IntroSort,Random,51200,3,5528
IntroSort,Random,51200,4,5535
IntroSort,Random,51200,5,5514
QuickSort,Random,51300,1,8428
QuickSort,Random,51300,2,8510
QuickSort,Random,51300,3,8942
QuickSort,Random,51300,4,8415
QuickSort,Random,51300,5,8527
IntroSort,Random,51300,1,5503
IntroSort,Random,51300,2,5527
IntroSort,Random,51300,3,5675
IntroSort,Random,51300,4,5447
IntroSort,Random,51300,5,5552
QuickSort,Random,51400,1,8713
QuickSort,Random,51400,2,8439
QuickSort,Random,51400,3,8462
QuickSort,Random,51400,4,8609
QuickSort,Random,51400,5,8618
IntroSort,Random,51400,1,5730
IntroSort,Random,51400,2,5372
IntroSort,Random,51400,3,5786
IntroSort,Random,51400,4,5623
IntroSort,Random,51400,5,5490
QuickSort,Random,51500,1,8493
QuickSort,Random,51500,2,8494
QuickSort,Random,51500,3,8431
QuickSort,Random,51500,4,8716
QuickSort,Random,51500,5,8510
IntroSort,Random,51500,1,5560
IntroSort,Random,51500,2,5478
IntroSort,Random,51500,3,5676
IntroSort,Random,51500,4,5537
IntroSort,Random,51500,5,5687
QuickSort,Random,51600,1,8450
QuickSort,Random,51600,2,8414
QuickSort,Random,51600,3,8548
QuickSort,Random,51600,4,8511
QuickSort,Random,51600,5,8547
IntroSort,Random,51600,1,5594
IntroSort,Random,51600,2,5452
IntroSort,Random,51600,3,5567
IntroSort,Random,51600,4,5568
IntroSort,Random,51600,5,5624
QuickSort,Random,51700,1,8537
QuickSort,Random,51700,2,8553
QuickSort,Random,51700,3,8466
QuickSort,Random,51700,4,8456
QuickSort,Random,51700,5,8594
IntroSort,Random,51700,1,5636
IntroSort,Random,51700,2,5690
IntroSort,Random,51700,3,5562
IntroSort,Random,51700,4,5633
IntroSort,Random,51700,5,5504
QuickSort,Random,51800,1,8528
QuickSort,Random,51800,2,8391
QuickSort,Random,51800,3,8657
QuickSort,Random,51800,4,8758
QuickSort,Random,51800,5,8587
IntroSort,Random,51800,1,5582
IntroSort,Random,51800,2,5599
IntroSort,Random,51800,3,5605
IntroSort,Random,51800,4,5599
IntroSort,Random,51800,5,5732
QuickSort,Random,51900,1,8643
QuickSort,Random,51900,2,8617
QuickSort,Random,51900,3,8893
QuickSort,Random,51900,4,8762
QuickSort,Random,51900,5,8703
IntroSort,Random,51900,1,5719
IntroSort,Random,51900,2,5673
IntroSort,Random,51900,3,5574
IntroSort,Random,51900,4,5579
IntroSort,Random,51900,5,5744
QuickSort,Random,52000,1,8966
QuickSort,Random,52000,2,8664
QuickSort,Random,52000,3,8692
QuickSort,Random,52000,4,8629
QuickSort,Random,52000,5,8649
IntroSort,Random,52000,1,5814
IntroSort,Random,52000,2,5635
IntroSort,Random,52000,3,5564
IntroSort,Random,52000,4,5714
IntroSort,Random,52000,5,5640
QuickSort,Random,52100,1,8787
QuickSort,Random,52100,2,8693
QuickSort,Random,52100,3,8690
QuickSort,Random,52100,4,8630
QuickSort,Random,52100,5,8724
IntroSort,Random,52100,1,5816
IntroSort,Random,52100,2,5534
IntroSort,Random,52100,3,5738
IntroSort,Random,52100,4,5676
IntroSort,Random,52100,5,5640
QuickSort,Random,52200,1,8901
QuickSort,Random,52200,2,8802
QuickSort,Random,52200,3,8695
QuickSort,Random,52200,4,8720
QuickSort,Random,52200,5,8822
IntroSort,Random,52200,1,5702
IntroSort,Random,52200,2,5713
IntroSort,Random,52200,3,5629
IntroSort,Random,52200,4,5733
IntroSort,Random,52200,5,5763
QuickSort,Random,52300,1,8868
QuickSort,Random,52300,2,8870
QuickSort,Random,52300,3,8812
QuickSort,Random,52300,4,8698
QuickSort,Random,52300,5,8746
IntroSort,Random,52300,1,5738
IntroSort,Random,52300,2,5679
IntroSort,Random,52300,3,5967
IntroSort,Random,52300,4,5615
IntroSort,Random,52300,5,5662
QuickSort,Random,52400,1,8839
QuickSort,Random,52400,2,8670
QuickSort,Random,52400,3,8819
QuickSort,Random,52400,4,8789
QuickSort,Random,52400,5,8348
IntroSort,Random,52400,1,5494
IntroSort,Random,52400,2,5588
IntroSort,Random,52400,3,5546
IntroSort,Random,52400,4,5539
IntroSort,Random,52400,5,5658
QuickSort,Random,52500,1,8577
QuickSort,Random,52500,2,8772
QuickSort,Random,52500,3,8630
QuickSort,Random,52500,4,8613
QuickSort,Random,52500,5,8687
IntroSort,Random,52500,1,5456
IntroSort,Random,52500,2,5808
IntroSort,Random,52500,3,5633
IntroSort,Random,52500,4,5747
IntroSort,Random,52500,5,5570
QuickSort,Random,52600,1,8608
QuickSort,Random,52600,2,8742
QuickSort,Random,52600,3,8561
QuickSort,Random,52600,4,8789
QuickSort,Random,52600,5,8578
IntroSort,Random,52600,1,5860
IntroSort,Random,52600,2,5658
IntroSort,Random,52600,3,5687
IntroSort,Random,52600,4,5669
IntroSort,Random,52600,5,5670
QuickSort,Random,52700,1,8684
QuickSort,Random,52700,2,8682
QuickSort,Random,52700,3,8745
QuickSort,Random,52700,4,8803
QuickSort,Random,52700,5,8637
IntroSort,Random,52700,1,5726
IntroSort,Random,52700,2,5594
IntroSort,Random,52700,3,5721
IntroSort,Random,52700,4,5675
IntroSort,Random,52700,5,5613
QuickSort,Random,52800,1,8765
QuickSort,Random,52800,2,8740
QuickSort,Random,52800,3,8885
QuickSort,Random,52800,4,8540
QuickSort,Random,52800,5,8866
IntroSort,Random,52800,1,5704
IntroSort,Random,52800,2,5614
IntroSort,Random,52800,3,5675
IntroSort,Random,52800,4,5672
IntroSort,Random,52800,5,5581
QuickSort,Random,52900,1,8790
QuickSort,Random,52900,2,8785
QuickSort,Random,52900,3,8872
QuickSort,Random,52900,4,8680
QuickSort,Random,52900,5,8782
IntroSort,Random,52900,1,5843
IntroSort,Random,52900,2,5728
IntroSort,Random,52900,3,5899
IntroSort,Random,52900,4,5606
IntroSort,Random,52900,5,5795
QuickSort,Random,53000,1,8811
QuickSort,Random,53000,2,8749
QuickSort,Random,53000,3,8779
QuickSort,Random,53000,4,8793
QuickSort,Random,53000,5,8785
IntroSort,Random,53000,1,5690
IntroSort,Random,53000,2,5900
IntroSort,Random,53000,3,5630
IntroSort,Random,53000,4,5648
IntroSort,Random,53000,5,5646
QuickSort,Random,53100,1,8963
QuickSort,Random,53100,2,8729
QuickSort,Random,53100,3,8738
QuickSort,Random,53100,4,8826
QuickSort,Random,53100,5,9154
IntroSort,Random,53100,1,5724
IntroSort,Random,53100,2,5638
IntroSort,Random,53100,3,5851
IntroSort,Random,53100,4,5955
IntroSort,Random,53100,5,5655
QuickSort,Random,53200,1,8711
QuickSort,Random,53200,2,8651
QuickSort,Random,53200,3,8757
QuickSort,Random,53200,4,8868
QuickSort,Random,53200,5,8847
IntroSort,Random,53200,1,5926
IntroSort,Random,53200,2,5739
IntroSort,Random,53200,3,5793
IntroSort,Random,53200,4,5709
IntroSort,Random,53200,5,5808
QuickSort,Random,53300,1,8873
QuickSort,Random,53300,2,8783
QuickSort,Random,53300,3,8941
QuickSort,Random,53300,4,8934
QuickSort,Random,53300,5,8869
IntroSort,Random,53300,1,5785
IntroSort,Random,53300,2,5701
IntroSort,Random,53300,3,5772
IntroSort,Random,53300,4,5700
IntroSort,Random,53300,5,5659
QuickSort,Random,53400,1,8844
QuickSort,Random,53400,2,8946
QuickSort,Random,53400,3,8759
QuickSort,Random,53400,4,8945
QuickSort,Random,53400,5,8979
IntroSort,Random,53400,1,5816
IntroSort,Random,53400,2,5763
IntroSort,Random,53400,3,5556
IntroSort,Random,53400,4,5605
IntroSort,Random,53400,5,5857
QuickSort,Random,53500,1,8887
QuickSort,Random,53500,2,8794
QuickSort,Random,53500,3,8886
QuickSort,Random,53500,4,9065
QuickSort,Random,53500,5,8843
IntroSort,Random,53500,1,5960
IntroSort,Random,53500,2,5734
IntroSort,Random,53500,3,5818
IntroSort,Random,53500,4,5805
IntroSort,Random,53500,5,5829
QuickSort,Random,53600,1,8975
QuickSort,Random,53600,2,8860
QuickSort,Random,53600,3,8747
QuickSort,Random,53600,4,8897
QuickSort,Random,53600,5,8925
IntroSort,Random,53600,1,5815
IntroSort,Random,53600,2,5775
IntroSort,Random,53600,3,5741
IntroSort,Random,53600,4,5801
IntroSort,Random,53600,5,5654
QuickSort,Random,53700,1,8973
QuickSort,Random,53700,2,9027
QuickSort,Random,53700,3,8971
QuickSort,Random,53700,4,8864
QuickSort,Random,53700,5,8968
IntroSort,Random,53700,1,5785
IntroSort,Random,53700,2,5778
IntroSort,Random,53700,3,5892
IntroSort,Random,53700,4,5744
IntroSort,Random,53700,5,5732
QuickSort,Random,53800,1,8896
QuickSort,Random,53800,2,8803
QuickSort,Random,53800,3,8860
QuickSort,Random,53800,4,8848
QuickSort,Random,53800,5,9302
IntroSort,Random,53800,1,5872
IntroSort,Random,53800,2,5797
IntroSort,Random,53800,3,5693
IntroSort,Random,53800,4,6233
IntroSort,Random,53800,5,5858
QuickSort,Random,53900,1,9104
QuickSort,Random,53900,2,9141
QuickSort,Random,53900,3,8930
QuickSort,Random,53900,4,9330
QuickSort,Random,53900,5,8916
IntroSort,Random,53900,1,5894
IntroSort,Random,53900,2,6008
IntroSort,Random,53900,3,5788
IntroSort,Random,53900,4,5770
IntroSort,Random,53900,5,6049
QuickSort,Random,54000,1,8971
QuickSort,Random,54000,2,8815
QuickSort,Random,54000,3,8952
QuickSort,Random,54000,4,8923
QuickSort,Random,54000,5,9013
IntroSort,Random,54000,1,5773
IntroSort,Random,54000,2,5963
IntroSort,Random,54000,3,6018
IntroSort,Random,54000,4,5804
IntroSort,Random,54000,5,5928
QuickSort,Random,54100,1,8980
QuickSort,Random,54100,2,8960
QuickSort,Random,54100,3,8937
QuickSort,Random,54100,4,9087
QuickSort,Random,54100,5,9012
IntroSort,Random,54100,1,5843
IntroSort,Random,54100,2,5919
IntroSort,Random,54100,3,5784
IntroSort,Random,54100,4,5733
IntroSort,Random,54100,5,5913
QuickSort,Random,54200,1,9188
QuickSort,Random,54200,2,9017
QuickSort,Random,54200,3,8997
QuickSort,Random,54200,4,9000
QuickSort,Random,54200,5,9097
IntroSort,Random,54200,1,5993
IntroSort,Random,54200,2,5904
IntroSort,Random,54200,3,5846
IntroSort,Random,54200,4,6021
IntroSort,Random,54200,5,5948
QuickSort,Random,54300,1,9080
QuickSort,Random,54300,2,9010
QuickSort,Random,54300,3,9118
QuickSort,Random,54300,4,9113
QuickSort,Random,54300,5,9085
IntroSort,Random,54300,1,5875
IntroSort,Random,54300,2,5933
IntroSort,Random,54300,3,5950
IntroSort,Random,54300,4,5825
IntroSort,Random,54300,5,6083
QuickSort,Random,54400,1,8983
QuickSort,Random,54400,2,9055
QuickSort,Random,54400,3,9331
QuickSort,Random,54400,4,9124
QuickSort,Random,54400,5,9206
IntroSort,Random,54400,1,5922
IntroSort,Random,54400,2,6003
IntroSort,Random,54400,3,6142
IntroSort,Random,54400,4,5890
IntroSort,Random,54400,5,5827
QuickSort,Random,54500,1,9116
QuickSort,Random,54500,2,8965
QuickSort,Random,54500,3,9089
QuickSort,Random,54500,4,8981
QuickSort,Random,54500,5,9105
IntroSort,Random,54500,1,6025
IntroSort,Random,54500,2,5997
IntroSort,Random,54500,3,6053
IntroSort,Random,54500,4,5947
IntroSort,Random,54500,5,5895
QuickSort,Random,54600,1,9036
QuickSort,Random,54600,2,8970
QuickSort,Random,54600,3,9176
QuickSort,Random,54600,4,9121
QuickSort,Random,54600,5,9118
IntroSort,Random,54600,1,5953
IntroSort,Random,54600,2,5907
IntroSort,Random,54600,3,5904
IntroSort,Random,54600,4,5812
IntroSort,Random,54600,5,5984
QuickSort,Random,54700,1,9073
QuickSort,Random,54700,2,8929
QuickSort,Random,54700,3,9273
QuickSort,Random,54700,4,9057
QuickSort,Random,54700,5,9210
IntroSort,Random,54700,1,5966
IntroSort,Random,54700,2,5837
IntroSort,Random,54700,3,6032
IntroSort,Random,54700,4,5732
IntroSort,Random,54700,5,6065
QuickSort,Random,54800,1,9105
QuickSort,Random,54800,2,9059
QuickSort,Random,54800,3,9367
QuickSort,Random,54800,4,9271
QuickSort,Random,54800,5,9242
IntroSort,Random,54800,1,5839
IntroSort,Random,54800,2,5870
IntroSort,Random,54800,3,5971
IntroSort,Random,54800,4,5924
IntroSort,Random,54800,5,6046
QuickSort,Random,54900,1,9331
QuickSort,Random,54900,2,9161
QuickSort,Random,54900,3,9180
QuickSort,Random,54900,4,9072
QuickSort,Random,54900,5,9044
IntroSort,Random,54900,1,5836
IntroSort,Random,54900,2,6265
IntroSort,Random,54900,3,5985
IntroSort,Random,54900,4,5834
IntroSort,Random,54900,5,5831
QuickSort,Random,55000,1,9183
QuickSort,Random,55000,2,9235
QuickSort,Random,55000,3,9191
QuickSort,Random,55000,4,9085
QuickSort,Random,55000,5,9215
IntroSort,Random,55000,1,5966
IntroSort,Random,55000,2,5991
IntroSort,Random,55000,3,5902
IntroSort,Random,55000,4,5907
IntroSort,Random,55000,5,5944
QuickSort,Random,55100,1,9150
QuickSort,Random,55100,2,9258
QuickSort,Random,55100,3,9133
QuickSort,Random,55100,4,9209
QuickSort,Random,55100,5,9173
IntroSort,Random,55100,1,5934
IntroSort,Random,55100,2,6019
IntroSort,Random,55100,3,5998
IntroSort,Random,55100,4,6100
IntroSort,Random,55100,5,5891
QuickSort,Random,55200,1,9067
QuickSort,Random,55200,2,9218
QuickSort,Random,55200,3,9183
QuickSort,Random,55200,4,9522
QuickSort,Random,55200,5,9334
IntroSort,Random,55200,1,5923
IntroSort,Random,55200,2,5992
IntroSort,Random,55200,3,5918
IntroSort,Random,55200,4,5976
IntroSort,Random,55200,5,6108
QuickSort,Random,55300,1,9272
QuickSort,Random,55300,2,9132
QuickSort,Random,55300,3,9151
QuickSort,Random,55300,4,9289
QuickSort,Random,55300,5,9147
IntroSort,Random,55300,1,6072
IntroSort,Random,55300,2,6002
IntroSort,Random,55300,3,6081
IntroSort,Random,55300,4,5880
IntroSort,Random,55300,5,6051
QuickSort,Random,55400,1,9258
QuickSort,Random,55400,2,9056
QuickSort,Random,55400,3,9199
QuickSort,Random,55400,4,9338
QuickSort,Random,55400,5,9206
IntroSort,Random,55400,1,5907
IntroSort,Random,55400,2,6105
IntroSort,Random,55400,3,6016
IntroSort,Random,55400,4,6063
IntroSort,Random,55400,5,6070
QuickSort,Random,55500,1,9427
QuickSort,Random,55500,2,9257
QuickSort,Random,55500,3,9228
QuickSort,Random,55500,4,9359
QuickSort,Random,55500,5,9271
IntroSort,Random,55500,1,6430
IntroSort,Random,55500,2,6149
IntroSort,Random,55500,3,6004
IntroSort,Random,55500,4,6072
IntroSort,Random,55500,5,6060
QuickSort,Random,55600,1,9365
QuickSort,Random,55600,2,9265
QuickSort,Random,55600,3,9564
QuickSort,Random,55600,4,9400
QuickSort,Random,55600,5,9257
IntroSort,Random,55600,1,6396
IntroSort,Random,55600,2,6118
IntroSort,Random,55600,3,5838
IntroSort,Random,55600,4,6035
IntroSort,Random,55600,5,5928
QuickSort,Random,55700,1,9257
QuickSort,Random,55700,2,9356
QuickSort,Random,55700,3,9505
QuickSort,Random,55700,4,9285
QuickSort,Random,55700,5,9173
IntroSort,Random,55700,1,6072
IntroSort,Random,55700,2,5910
IntroSort,Random,55700,3,6119
IntroSort,Random,55700,4,5902
IntroSort,Random,55700,5,6243
QuickSort,Random,55800,1,9363
QuickSort,Random,55800,2,9362
QuickSort,Random,55800,3,9135
QuickSort,Random,55800,4,9258
QuickSort,Random,55800,5,9209
IntroSort,Random,55800,1,6102
IntroSort,Random,55800,2,6092
IntroSort,Random,55800,3,5878
IntroSort,Random,55800,4,6103
IntroSort,Random,55800,5,6064
QuickSort,Random,55900,1,9329
QuickSort,Random,55900,2,9232
QuickSort,Random,55900,3,9475
QuickSort,Random,55900,4,9150
QuickSort,Random,55900,5,9441
IntroSort,Random,55900,1,6103
IntroSort,Random,55900,2,6084
IntroSort,Random,55900,3,5910
IntroSort,Random,55900,4,6130
IntroSort,Random,55900,5,5959
QuickSort,Random,56000,1,9243
QuickSort,Random,56000,2,9247
QuickSort,Random,56000,3,9385
QuickSort,Random,56000,4,9251
QuickSort,Random,56000,5,9399
IntroSort,Random,56000,1,6121
IntroSort,Random,56000,2,6030
IntroSort,Random,56000,3,5961
IntroSort,Random,56000,4,6112
IntroSort,Random,56000,5,6003
QuickSort,Random,56100,1,9226
QuickSort,Random,56100,2,9389
QuickSort,Random,56100,3,9311
QuickSort,Random,56100,4,9532
QuickSort,Random,56100,5,9370
IntroSort,Random,56100,1,6323
IntroSort,Random,56100,2,6189
IntroSort,Random,56100,3,5942
IntroSort,Random,56100,4,5857
IntroSort,Random,56100,5,6008
QuickSort,Random,56200,1,9548
QuickSort,Random,56200,2,9307
QuickSort,Random,56200,3,9394
QuickSort,Random,56200,4,9462
QuickSort,Random,56200,5,9306
IntroSort,Random,56200,1,5984
IntroSort,Random,56200,2,6043
IntroSort,Random,56200,3,6358
IntroSort,Random,56200,4,6231
IntroSort,Random,56200,5,6120
QuickSort,Random,56300,1,9418
QuickSort,Random,56300,2,9472
QuickSort,Random,56300,3,9369
QuickSort,Random,56300,4,9397
QuickSort,Random,56300,5,9676
IntroSort,Random,56300,1,6083
IntroSort,Random,56300,2,6228
IntroSort,Random,56300,3,6210
IntroSort,Random,56300,4,6147
IntroSort,Random,56300,5,5996
QuickSort,Random,56400,1,9647
QuickSort,Random,56400,2,9512
QuickSort,Random,56400,3,9586
QuickSort,Random,56400,4,9477
QuickSort,Random,56400,5,9615
IntroSort,Random,56400,1,6105
IntroSort,Random,56400,2,6205
IntroSort,Random,56400,3,6048
IntroSort,Random,56400,4,6166
IntroSort,Random,56400,5,5980
QuickSort,Random,56500,1,9605
QuickSort,Random,56500,2,9476
QuickSort,Random,56500,3,9304
QuickSort,Random,56500,4,9384
QuickSort,Random,56500,5,9567
IntroSort,Random,56500,1,6148
IntroSort,Random,56500,2,6019
IntroSort,Random,56500,3,6134
IntroSort,Random,56500,4,6196
IntroSort,Random,56500,5,6348
QuickSort,Random,56600,1,9537
QuickSort,Random,56600,2,9290
QuickSort,Random,56600,3,9629
QuickSort,Random,56600,4,9621
QuickSort,Random,56600,5,9458
IntroSort,Random,56600,1,6160
IntroSort,Random,56600,2,6452
IntroSort,Random,56600,3,6128
IntroSort,Random,56600,4,6173
IntroSort,Random,56600,5,6188
QuickSort,Random,56700,1,9579
QuickSort,Random,56700,2,9478
QuickSort,Random,56700,3,9648
QuickSort,Random,56700,4,9649
QuickSort,Random,56700,5,9434
IntroSort,Random,56700,1,6376
IntroSort,Random,56700,2,6164
IntroSort,Random,56700,3,6324
IntroSort,Random,56700,4,6192
IntroSort,Random,56700,5,6308
QuickSort,Random,56800,1,9635
QuickSort,Random,56800,2,9532
QuickSort,Random,56800,3,9430
QuickSort,Random,56800,4,9505
QuickSort,Random,56800,5,9578
IntroSort,Random,56800,1,6303
IntroSort,Random,56800,2,6208
IntroSort,Random,56800,3,6202
IntroSort,Random,56800,4,6211
IntroSort,Random,56800,5,6416
QuickSort,Random,56900,1,9560
QuickSort,Random,56900,2,9798
QuickSort,Random,56900,3,9575
QuickSort,Random,56900,4,9813
QuickSort,Random,56900,5,9500
IntroSort,Random,56900,1,6267
IntroSort,Random,56900,2,6119
IntroSort,Random,56900,3,6037
IntroSort,Random,56900,4,6272
IntroSort,Random,56900,5,6140
QuickSort,Random,57000,1,9774
QuickSort,Random,57000,2,9647
QuickSort,Random,57000,3,9693
QuickSort,Random,57000,4,9733
QuickSort,Random,57000,5,9763
IntroSort,Random,57000,1,6116
IntroSort,Random,57000,2,6152
IntroSort,Random,57000,3,6267
IntroSort,Random,57000,4,6209
IntroSort,Random,57000,5,6255
QuickSort,Random,57100,1,9513
QuickSort,Random,57100,2,9667
QuickSort,Random,57100,3,9761
QuickSort,Random,57100,4,10031
QuickSort,Random,57100,5,10026
IntroSort,Random,57100,1,6278
IntroSort,Random,57100,2,6394
IntroSort,Random,57100,3,6415
IntroSort,Random,57100,4,6135
IntroSort,Random,57100,5,6247
QuickSort,Random,57200,1,9684
QuickSort,Random,57200,2,9584
QuickSort,Random,57200,3,9889
QuickSort,Random,57200,4,9513
QuickSort,Random,57200,5,9618
IntroSort,Random,57200,1,6300
IntroSort,Random,57200,2,6101
IntroSort,Random,57200,3,6190
IntroSort,Random,57200,4,6175
IntroSort,Random,57200,5,6187
QuickSort,Random,57300,1,9801
QuickSort,Random,57300,2,9618
QuickSort,Random,57300,3,9700
QuickSort,Random,57300,4,10132
QuickSort,Random,57300,5,9715
IntroSort,Random,57300,1,6486
IntroSort,Random,57300,2,6147
IntroSort,Random,57300,3,6388
IntroSort,Random,57300,4,6325
IntroSort,Random,57300,5,6101
QuickSort,Random,57400,1,9642
QuickSort,Random,57400,2,9835
QuickSort,Random,57400,3,9529
QuickSort,Random,57400,4,9707
QuickSort,Random,57400,5,9780
IntroSort,Random,57400,1,6408
IntroSort,Random,57400,2,6159
IntroSort,Random,57400,3,6407
IntroSort,Random,57400,4,6196
IntroSort,Random,57400,5,6367
QuickSort,Random,57500,1,9929
QuickSort,Random,57500,2,9838
QuickSort,Random,57500,3,9836
QuickSort,Random,57500,4,9542
QuickSort,Random,57500,5,9762
IntroSort,Random,57500,1,6207
IntroSort,Random,57500,2,6254
IntroSort,Random,57500,3,6202
IntroSort,Random,57500,4,6246
IntroSort,Random,57500,5,6322
QuickSort,Random,57600,1,9989
QuickSort,Random,57600,2,9813
QuickSort,Random,57600,3,9851
QuickSort,Random,57600,4,9986
QuickSort,Random,57600,5,9733
IntroSort,Random,57600,1,6577
IntroSort,Random,57600,2,6461
IntroSort,Random,57600,3,6262
IntroSort,Random,57600,4,6196
IntroSort,Random,57600,5,6161
QuickSort,Random,57700,1,9788
QuickSort,Random,57700,2,9838
QuickSort,Random,57700,3,9800
QuickSort,Random,57700,4,9858
QuickSort,Random,57700,5,9700
IntroSort,Random,57700,1,6180
IntroSort,Random,57700,2,6539
IntroSort,Random,57700,3,6482
IntroSort,Random,57700,4,6541
IntroSort,Random,57700,5,6435
QuickSort,Random,57800,1,9773
QuickSort,Random,57800,2,9714
QuickSort,Random,57800,3,9909
QuickSort,Random,57800,4,9748
QuickSort,Random,57800,5,9878
IntroSort,Random,57800,1,6180
IntroSort,Random,57800,2,6221
IntroSort,Random,57800,3,6262
IntroSort,Random,57800,4,6263
IntroSort,Random,57800,5,6218
QuickSort,Random,57900,1,9966
QuickSort,Random,57900,2,9959
QuickSort,Random,57900,3,9920
QuickSort,Random,57900,4,9702
QuickSort,Random,57900,5,9819
IntroSort,Random,57900,1,6197
IntroSort,Random,57900,2,6254
IntroSort,Random,57900,3,6377
IntroSort,Random,57900,4,6249
IntroSort,Random,57900,5,6355
QuickSort,Random,58000,1,9779
QuickSort,Random,58000,2,9940
QuickSort,Random,58000,3,9797
QuickSort,Random,58000,4,9814
QuickSort,Random,58000,5,9877
IntroSort,Random,58000,1,6448
IntroSort,Random,58000,2,6297
IntroSort,Random,58000,3,6209
IntroSort,Random,58000,4,6362
IntroSort,Random,58000,5,6366
QuickSort,Random,58100,1,9796
QuickSort,Random,58100,2,9926
QuickSort,Random,58100,3,10038
QuickSort,Random,58100,4,9685
QuickSort,Random,58100,5,9740
IntroSort,Random,58100,1,6173
IntroSort,Random,58100,2,6509
IntroSort,Random,58100,3,6225
IntroSort,Random,58100,4,6525
IntroSort,Random,58100,5,6236
QuickSort,Random,58200,1,9903
QuickSort,Random,58200,2,9836
QuickSort,Random,58200,3,9827
QuickSort,Random,58200,4,9652
QuickSort,Random,58200,5,9878
IntroSort,Random,58200,1,6236
IntroSort,Random,58200,2,6340
IntroSort,Random,58200,3,6307
IntroSort,Random,58200,4,6337
IntroSort,Random,58200,5,6316
QuickSort,Random,58300,1,9905
QuickSort,Random,58300,2,9812
QuickSort,Random,58300,3,10047
QuickSort,Random,58300,4,10120
QuickSort,Random,58300,5,9876
IntroSort,Random,58300,1,6320
IntroSort,Random,58300,2,6521
IntroSort,Random,58300,3,6503
IntroSort,Random,58300,4,6478
IntroSort,Random,58300,5,6449
QuickSort,Random,58400,1,10102
QuickSort,Random,58400,2,9867
QuickSort,Random,58400,3,10051
QuickSort,Random,58400,4,9852
QuickSort,Random,58400,5,9836
IntroSort,Random,58400,1,6415
IntroSort,Random,58400,2,6352
IntroSort,Random,58400,3,6411
IntroSort,Random,58400,4,6187
IntroSort,Random,58400,5,6305
QuickSort,Random,58500,1,9761
QuickSort,Random,58500,2,9846
QuickSort,Random,58500,3,10160
QuickSort,Random,58500,4,10130
QuickSort,Random,58500,5,9851
IntroSort,Random,58500,1,6346
IntroSort,Random,58500,2,6581
IntroSort,Random,58500,3,6474
IntroSort,Random,58500,4,6438
IntroSort,Random,58500,5,6542
QuickSort,Random,58600,1,9880
QuickSort,Random,58600,2,9999
QuickSort,Random,58600,3,9953
QuickSort,Random,58600,4,9884
QuickSort,Random,58600,5,9996
IntroSort,Random,58600,1,6542
IntroSort,Random,58600,2,6652
IntroSort,Random,58600,3,6531
IntroSort,Random,58600,4,6371
IntroSort,Random,58600,5,6420
QuickSort,Random,58700,1,9825
QuickSort,Random,58700,2,9883
QuickSort,Random,58700,3,10090
QuickSort,Random,58700,4,9808
QuickSort,Random,58700,5,9993
IntroSort,Random,58700,1,6519
IntroSort,Random,58700,2,6407
IntroSort,Random,58700,3,6406
IntroSort,Random,58700,4,6484
IntroSort,Random,58700,5,6237
QuickSort,Random,58800,1,10171
QuickSort,Random,58800,2,10069
QuickSort,Random,58800,3,10165
QuickSort,Random,58800,4,10403
QuickSort,Random,58800,5,10189
IntroSort,Random,58800,1,6402
IntroSort,Random,58800,2,6749
IntroSort,Random,58800,3,6350
IntroSort,Random,58800,4,6288
IntroSort,Random,58800,5,6279
QuickSort,Random,58900,1,9908
QuickSort,Random,58900,2,9998
QuickSort,Random,58900,3,10035
QuickSort,Random,58900,4,10169
QuickSort,Random,58900,5,9969
IntroSort,Random,58900,1,6373
IntroSort,Random,58900,2,6285
IntroSort,Random,58900,3,6548
IntroSort,Random,58900,4,6712
